Column,Type,Size,Fuzzed,XSS,Token
oc_location.open,text,,True,False,False
oc_location.comment,text,,True,False,False
oc_manufacturer.name,varchar,64,True,False,False
oc_manufacturer.image,varchar,255,True,False,False
oc_marketing.name,varchar,32,True,False,False
oc_marketing.description,text,,True,False,False
oc_marketing.code,varchar,64,True,False,False
oc_marketing_report.ip,varchar,40,True,False,False
oc_marketing_report.country,varchar,2,False,False,False
oc_module.name,varchar,64,True,False,False
oc_module.code,varchar,64,True,False,False
oc_module.setting,text,,True,False,False
oc_notification.title,varchar,64,True,False,False
oc_notification.text,text,,True,False,False
oc_option.type,varchar,32,True,False,False
oc_option_description.name,varchar,128,True,False,False
oc_option_value.image,varchar,255,True,False,False
oc_option_value_description.name,varchar,128,True,False,False
oc_order.transaction_id,varchar,100,True,False,False
oc_order.invoice_prefix,varchar,26,False,False,False
oc_order.store_name,varchar,64,True,False,False
oc_order.store_url,varchar,255,True,False,False
oc_order.firstname,varchar,32,True,False,False
oc_order.lastname,varchar,32,True,False,False
oc_order.email,varchar,96,True,False,False
oc_order.telephone,varchar,32,True,False,False
oc_order.custom_field,text,,True,False,False
oc_order.payment_firstname,varchar,32,True,False,False
oc_order.payment_lastname,varchar,32,True,False,False
oc_order.payment_company,varchar,60,True,False,False
oc_order.payment_address_1,varchar,128,True,False,False
oc_order.payment_address_2,varchar,128,True,False,False
oc_order.payment_city,varchar,128,True,False,False
oc_order.payment_postcode,varchar,10,False,False,False
oc_order.payment_country,varchar,128,True,False,False
oc_order.payment_zone,varchar,128,True,False,False
oc_order.payment_address_format,text,,True,False,False
oc_order.payment_custom_field,text,,True,False,False
oc_order.payment_method,varchar,128,True,False,False
oc_order.payment_code,varchar,128,True,False,False
oc_order.shipping_firstname,varchar,32,True,False,False
oc_order.shipping_lastname,varchar,32,True,False,False
oc_order.shipping_company,varchar,60,True,False,False
oc_order.shipping_address_1,varchar,128,True,False,False
oc_order.shipping_address_2,varchar,128,True,False,False
