Column,Type,Size,Fuzzed,XSS,Token
mybb_promotions.threadtype,char,2,False,False,False
mybb_promotions.registeredtype,varchar,20,False,False,False
mybb_promotions.onlinetype,varchar,20,False,False,False
mybb_promotions.reputationtype,char,2,False,False,False
mybb_promotions.referralstype,char,2,False,False,False
mybb_promotions.warningstype,char,2,False,False,False
mybb_promotions.requirements,varchar,200,True,False,False
mybb_promotions.originalusergroup,varchar,120,True,False,False
mybb_promotions.usergrouptype,varchar,120,True,False,False
mybb_questions.question,varchar,200,True,False,False
mybb_questions.answer,varchar,150,True,False,False
mybb_questionsessions.sid,varchar,32,True,False,False
mybb_reportedcontent.reason,varchar,250,True,False,False
mybb_reportedcontent.type,varchar,50,True,False,False
mybb_reportedcontent.reporters,text,,True,False,False
mybb_reportreasons.title,varchar,250,True,False,False
mybb_reportreasons.appliesto,varchar,250,True,False,False
mybb_reputation.comments,text,,True,False,False
mybb_searchlog.sid,varchar,32,True,False,False
mybb_searchlog.ipaddress,varbinary,16,False,False,False
mybb_searchlog.threads,longtext,,True,False,False
mybb_searchlog.posts,longtext,,True,False,False
mybb_searchlog.resulttype,varchar,10,False,False,False
mybb_searchlog.querycache,text,,True,False,False
mybb_searchlog.keywords,text,,True,False,False
mybb_sessions.sid,varchar,32,True,False,False
mybb_sessions.ip,varbinary,16,False,False,False
mybb_sessions.location,varchar,150,True,False,False
mybb_sessions.useragent,varchar,200,True,False,False
mybb_settinggroups.name,varchar,100,True,False,False
mybb_settinggroups.title,varchar,220,True,False,False
mybb_settinggroups.description,text,,True,False,False
mybb_settings.name,varchar,120,True,False,False
mybb_settings.title,varchar,120,True,False,False
mybb_settings.description,text,,True,False,False
mybb_settings.optionscode,text,,True,False,False
mybb_settings.value,text,,True,False,False
mybb_smilies.name,varchar,120,True,False,False
mybb_smilies.find,text,,True,False,False
mybb_smilies.image,varchar,220,True,False,False
mybb_spamlog.username,varchar,120,True,False,False
mybb_spamlog.email,varchar,220,True,False,False
mybb_spamlog.ipaddress,varbinary,16,False,False,False
mybb_spamlog.data,text,,True,False,False
mybb_spiders.name,varchar,100,True,False,False
mybb_spiders.language,varchar,20,False,False,False
mybb_spiders.useragent,varchar,200,True,False,False
mybb_tasklog.data,text,,True,False,False
mybb_tasks.title,varchar,120,True,False,False
mybb_tasks.description,text,,True,False,False
mybb_tasks.file,varchar,30,False,False,False
mybb_tasks.minute,varchar,200,True,False,False
mybb_tasks.hour,varchar,200,True,False,False
mybb_tasks.day,varchar,100,True,False,False
mybb_tasks.month,varchar,30,False,False,False
mybb_tasks.weekday,varchar,15,False,False,False
mybb_templategroups.prefix,varchar,50,True,False,False
mybb_templategroups.title,varchar,100,True,False,False
mybb_templates.title,varchar,120,True,False,False
mybb_templates.template,text,,True,True,True
mybb_templates.version,varchar,20,False,False,False
mybb_templates.status,varchar,10,False,False,False
mybb_templatesets.title,varchar,120,True,False,False
mybb_themes.name,varchar,100,True,False,False
mybb_themes.properties,text,,True,False,False
mybb_themes.stylesheets,text,,True,False,False
mybb_themes.allowedgroups,text,,True,False,False
mybb_themestylesheets.name,varchar,30,False,False,False
mybb_themestylesheets.attachedto,text,,True,False,False
mybb_themestylesheets.stylesheet,longtext,,True,False,False
mybb_themestylesheets.cachefile,varchar,100,True,False,False
mybb_threadprefixes.prefix,varchar,120,True,False,False
mybb_threadprefixes.displaystyle,varchar,200,True,False,False
mybb_threadprefixes.forums,text,,True,False,False
mybb_threadprefixes.groups,text,,True,False,False
mybb_threadratings.ipaddress,varbinary,16,False,False,False
mybb_threads.subject,varchar,120,True,False,False
mybb_threads.username,varchar,80,True,False,False
mybb_threads.lastposter,varchar,120,True,False,False
mybb_threads.closed,varchar,30,False,False,False
mybb_threads.notes,text,,True,False,False
mybb_userfields.fid1,text,,True,False,False
mybb_userfields.fid2,text,,True,False,False
mybb_userfields.fid3,text,,True,False,False
mybb_usergroups.title,varchar,120,True,True,True
mybb_usergroups.description,text,,True,False,False
mybb_usergroups.namestyle,varchar,200,True,True,True
mybb_usergroups.usertitle,varchar,120,True,False,False
mybb_usergroups.starimage,varchar,120,True,False,False
mybb_usergroups.image,varchar,120,True,False,False
mybb_users.username,varchar,120,True,False,False
mybb_users.password,varchar,120,True,False,False
mybb_users.salt,varchar,10,False,False,False
mybb_users.loginkey,varchar,50,True,False,False
mybb_users.email,varchar,220,True,False,False
mybb_users.avatar,varchar,200,True,False,False
mybb_users.avatardimensions,varchar,10,False,False,False
mybb_users.avatartype,varchar,10,False,False,False
mybb_users.additionalgroups,varchar,200,True,False,False
mybb_users.usertitle,varchar,250,True,False,False
mybb_users.website,varchar,200,True,False,False
mybb_users.icq,varchar,10,False,False,False
mybb_users.skype,varchar,75,True,False,False
mybb_users.google,varchar,75,True,False,False
mybb_users.birthday,varchar,15,False,False,False
mybb_users.birthdayprivacy,varchar,4,False,False,False
mybb_users.signature,text,,True,False,False
mybb_users.threadmode,varchar,8,False,False,False
mybb_users.dateformat,varchar,4,False,False,False
mybb_users.timeformat,varchar,4,False,False,False
mybb_users.timezone,varchar,5,False,False,False
mybb_users.buddylist,text,,True,False,False
mybb_users.ignorelist,text,,True,False,False
mybb_users.returndate,varchar,15,False,False,False
mybb_users.awayreason,varchar,200,True,False,False
mybb_users.pmfolders,text,,True,False,False
mybb_users.notepad,text,,True,False,False
mybb_users.regip,varbinary,16,False,False,False
mybb_users.lastip,varbinary,16,False,False,False
mybb_users.language,varchar,50,True,False,False
mybb_users.usernotes,text,,True,False,False
mybb_usertitles.title,varchar,250,True,False,False
mybb_usertitles.starimage,varchar,120,True,False,False
mybb_warninglevels.action,text,,True,False,False
mybb_warnings.title,varchar,120,True,False,False
mybb_warnings.revokereason,text,,True,False,False
mybb_warnings.notes,text,,True,False,False
mybb_warningtypes.title,varchar,120,True,False,False
